_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.49,0.73
5,0.12280506,0.19456846,0.00031025,0.00331697,0.12046131,0.01739969,0.00024608,1.267e-05,0.00412981,0.00468062,0.00061969,0.00055081,0.41625005,0.08051368,4e-07,0.19691221,0,-1.267e-05,-6.42e-06,,,
10,0.11259301,0.17382813,0.0003101,0.00316282,0.11030506,0.02174519,0.00026281,8.84e-06,0.00404723,0.00460754,0.00061733,0.0005603,0.39914286,0.07859445,9e-07,0.17611607,0,-8.84e-06,-4.61e-06,0.63333333,0.49,0.7
15,0.13683894,0.21294071,0.00029889,0.00339402,0.13515625,0.02412294,0.00020105,7.8e-07,0.00418557,0.00477689,0.00063048,0.00059132,0.40557998,0.0588484,1e-06,0.2146234,0,-7.8e-07,-3.43e-06,,,
20,0.13984375,0.20898438,0.00030513,0.00341205,0.13666295,0.02548312,0.00022043,1.24e-05,0.00425293,0.00485735,0.00067868,0.00060442,0.39091179,0.05340068,1e-06,0.21216518,0,-1.24e-05,-9.7e-07,0.66666667,0.5,0.7
25,0.14317708,0.23506945,0.00030284,0.00358052,0.1411632,0.02783245,0.00021097,2.112e-05,0.00441548,0.00505573,0.00067537,0.00064025,0.39422849,0.05139312,1e-06,0.23708334,0,-2.112e-05,8.88e-06,,,
30,0.17978051,0.26209078,0.00027946,0.00357893,0.17845982,0.03853461,0.00018759,2.659e-05,0.00455653,24.06630843,24.06179665,24.06175063,0.41205773,0.05280503,1e-06,0.26341146,0,-2.659e-05,-4.46e-06,0.7,0.51,0.73
35,0.183125,0.26175348,0.00029626,0.00368298,0.1814757,0.0379637,0.00020436,1.815e-05,0.00457235,0.00528188,0.00074665,0.00070953,0.39356241,0.05370248,1e-06,0.26340278,0,-1.815e-05,8.02e-06,,,
40,0.16744792,0.27782452,0.00028523,0.0035937,0.16472356,0.03550978,0.00017298,3.958e-05,0.00455574,0.00526557,0.00084719,0.00070982,0.37348166,0.06334793,1e-06,0.28054888,0,-3.958e-05,1.463e-05,0.73333333,0.54,0.71
45,0.2046689,0.29933036,0.0002862,0.00376017,0.2030506,0.05058294,0.00016776,1.048e-05,0.0047526,0.00917298,0.00445624,0.00442038,0.33958274,0.05049289,1e-06,0.30094867,0,-1.048e-05,2.566e-05,,,
50,0.23694197,0.33800224,0.00028012,0.00398596,0.23539807,0.05405718,0.00014005,2.004e-05,0.00492571,6.84166117,6.83677632,6.83673622,0.31586862,0.05436122,1e-06,0.33954614,0,-2.004e-05,4.052e-05,0.7,0.58,0.7
55,0.27442337,0.37749256,0.00025412,0.00402668,0.27280506,0.07577938,9.167e-05,1.869e-05,0.00523778,0.77682817,0.77163429,0.77159044,0.22491831,0.05733337,1e-06,0.37911087,0,-1.869e-05,0.00032009,,,
60,0.3139323,0.43301712,0.00027943,0.00436808,0.31251861,0.09978466,0.00012136,3.878e-05,0.00557639,42.35954176,42.35398829,42.35396605,0.13403225,0.08553511,1e-06,0.43443081,0,-3.878e-05,0.00054272,0.73333333,0.54,0.69
65,0.34350819,0.45340402,0.00024043,0.00442269,0.34112724,0.15343492,0.00010138,4.503e-05,0.00619363,73.72516248,73.71900549,73.71896847,0.12199181,0.10986034,1e-06,0.45578497,0,-4.503e-05,0.00069455,,,
70,0.39819336,0.46388346,0.00016145,0.00465129,0.39770508,0.29716527,3.467e-05,7.97e-06,0.00773868,57.05865019,57.05092261,57.05091014,0.11701121,0.15076596,1e-06,0.46437175,0,-7.97e-06,0.00239621,0.73333333,0.54,0.71
75,0.44288737,0.47692057,8.302e-05,0.00467167,0.44122722,0.6543493,2.059e-05,7.31e-06,0.01141182,4640.05226524,4640.04088289,4640.04085608,0.09671022,0.34777605,1e-06,0.47858073,0,-7.31e-06,0.01021452,,,
80,0.48530506,0.49206349,1.465e-05,0.00485517,0.48474702,2.97552521,3.38e-06,2.5e-06,0.03472235,1250377.56446475,1250377.55285645,1250377.55285645,0.1265275,3.66782298,1e-06,0.49262153,0,-2.5e-06,0.11204711,0.53333333,0.3,0.57
85,0.48910985,0.49502841,1.266e-05,0.00492316,0.48839962,13.93207524,8.86e-06,1.9e-07,0.14430347,19682101.57007576,19682101.57007576,19682101.57007576,0.12234829,34.62401748,1e-06,0.49573864,0,-1.9e-07,0.7479284,,,
90,0.49375,0.49648437,8.24e-06,0.00494082,0.49277344,19.08174781,1.85e-06,1.11e-06,0.19580339,43132674.3734375,43132674.3734375,43132674.3734375,0.08026033,20.18118927,1e-06,0.49746094,0,-1.11e-06,0.50449479,0.16666667,0.05,0.37
95,0.49758185,0.49925595,3.93e-06,0.00497653,0.49758185,19.00564707,2.52e-06,-3e-08,0.19505261,46180896.04910714,46180896.04910714,46180896.04910714,0.04959801,15.14387673,1e-06,0.49925595,0,3e-08,0.40981958,,,
100,0.49836483,0.49963663,2.64e-06,0.00498646,0.49800145,18.03593374,2.57e-06,7.8e-07,0.18535717,46413255.08284884,46413255.08284884,46413255.08284884,0.03910276,15.54908166,1e-06,0.5,0,-7.8e-07,0.16304085,0.06666667,0.03,0.29
