_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.73333333,0.53,0.67
5,0.49955357,0.49977679,3.1e-07,0.00040918,0.49933036,3.59406123,6.3e-07,-3.4e-07,0.0041311,0.00467073,0.00061485,0.00053963,0.41524887,0.0543209,4e-07,0.5,0,3.4e-07,-1.261e-05,,,
10,0.49910714,0.5,2.6e-07,0.00040067,0.49910714,3.54288684,2e-07,-5e-08,0.00406999,0.02332845,0.01931319,0.01925846,0.39977318,0.05235751,9e-07,0.5,0,5e-08,-5e-06,0.63333333,0.52,0.69
15,0.5,0.5,0,0.00041579,0.5,3.69112365,0,0,0.00421335,0.00479527,0.00062638,0.00058192,0.41243207,0.04250738,1e-06,0.5,0,0,-1.064e-05,,,
20,0.5,0.5,0,0.00043196,0.5,3.73917952,0,0,0.00426304,0.00488749,0.00067218,0.00062445,0.39814943,0.04004553,1e-06,0.5,0,0,-8.22e-06,0.73333333,0.53,0.72
25,0.5,0.5,0,0.00043451,0.5,3.88350275,0,0,0.00439948,0.00501987,0.00065234,0.00062039,0.39851061,0.03816361,1e-06,0.5,0,0,6.98e-06,,,
30,0.5,0.5,0,0.00042428,0.5,4.02152919,0,0,0.00454349,0.00527897,0.0007794,0.00073548,0.41730163,0.04250258,1e-06,0.5,0,0,3.42e-06,0.8,0.5,0.71
35,0.5,0.5,0,0.0004292,0.5,4.04000348,0,0,0.00455775,0.00526471,0.00074245,0.00070696,0.4072718,0.03843182,1e-06,0.5,0,0,3.14e-06,,,
