_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.51,0.69
5,0.11620164,0.18766741,0.00029445,0.00332519,0.11380208,0.01727119,0.0002343,1.711e-05,0.00412679,0.00464757,0.00059441,0.00052077,0.41492364,0.08315744,4e-07,0.19006697,0,-1.711e-05,3.06e-06,,,
10,0.11999628,0.17793899,0.00029327,0.0032477,0.11888021,0.0237987,0.00022193,-5.5e-06,0.00410786,0.00463531,0.00057758,0.00052745,0.40365532,0.06677327,9e-07,0.17905506,0,5.5e-06,1.838e-05,0.7,0.53,0.73
15,0.13846154,0.21588542,0.00027898,0.00337585,0.13713943,0.0247351,0.00019365,8.14e-06,0.0042189,0.05027881,0.04610572,0.04605991,0.40945551,0.05674353,1e-06,0.21720754,0,-8.14e-06,1.144e-05,,,
20,0.14384301,0.21923363,0.00031879,0.00348912,0.14339658,0.02725858,0.00022442,1.15e-05,0.00429347,0.00494002,0.00069038,0.00064656,0.39607733,0.05947536,1e-06,0.21968006,0,-1.15e-05,-9.19e-06,0.73333333,0.52,0.71
25,0.14873264,0.23914931,0.00031342,0.00358589,0.14692708,0.02883958,0.00022415,1.407e-05,0.00442459,0.00511758,0.00072402,0.00069299,0.39360294,0.05291436,1e-06,0.24095486,0,-1.407e-05,-6.2e-07,,,
30,0.18104968,0.26862981,0.00027402,0.00349065,0.17914664,0.04063327,0.00020278,2.686e-05,0.00458967,0.00528606,0.00075011,0.00069639,0.40684283,0.06014213,1e-06,0.27053286,0,-2.686e-05,2.6e-07,0.66666667,0.56,0.72
35,0.19453125,0.26977164,0.00027421,0.00365982,0.19210738,0.04288238,0.00017825,2.479e-05,0.00465828,0.00537663,0.00076988,0.00071835,0.39641264,0.05257753,1e-06,0.27219552,0,-2.479e-05,1.228e-05,,,
