_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.54,0.69
5,0.49910714,0.4984375,-1.7e-07,0.00012334,0.49799107,13.16883013,1.31690922,-1.31690256,0.0041347,0.00465511,0.00058953,0.0005204,0.41637704,6.952371,4e-07,0.49955357,0,1.31690254,2.91e-06,,,
10,0.5,0.5,0,0.00012211,0.5,12.8410743,1.28413374,-1.28413374,0.00402694,0.00456966,0.00059195,0.00054273,0.39322639,6.79592566,9e-07,0.5,0,1.28413373,6.1e-07,0.7,0.54,0.67
15,0.5,0.5,0,0.0001228,0.5,12.81620307,1.28162988,-1.28162988,0.00401657,0.00456173,0.00058858,0.00054517,0.39438617,6.35411973,1e-06,0.5,0,1.28162986,-1.379e-05,,,
20,0.5,0.5,0,0.00012355,0.5,12.70704223,1.27071593,-1.27071593,0.00399582,0.00452979,0.00060138,0.00053397,0.37627697,7.26248538,1e-06,0.5,0,1.27071592,-6.2e-06,0.63333333,0.46,0.75
25,0.5,0.5,0,0.00012607,0.5,12.6424787,1.26426419,-1.26426419,0.00396172,0.00451227,0.00058851,0.00055055,0.36658007,6.34384919,1e-06,0.5,0,1.26426418,-1.679e-05,,,
30,0.5,0.5,0,0.00011999,0.5,12.59747275,1.2597855,-1.2597855,0.00395726,0.00454192,0.0006407,0.00058466,0.37521654,6.32562968,1e-06,0.5,0,1.25978548,-1.954e-05,0.63333333,0.53,0.66
35,0.5,0.5,0,0.00012113,0.5,12.32846366,1.23286615,-1.23286615,0.00387294,0.00440129,0.00057715,0.00052834,0.36229867,6.35268043,1e-06,0.5,0,1.23286614,-3.65e-06,,,
40,0.5,0.5,0,0.00011697,0.5,11.8198038,1.18197341,-1.18197341,0.00373404,0.00426205,0.0006042,0.00052801,0.35299513,7.95391608,1e-06,0.5,0,1.18197339,-2.226e-05,0.7,0.46,0.69
45,0.5,0.5,0,0.00012435,0.5,12.13549391,1.21325309,-1.21325309,0.00380811,0.00481194,0.00103876,0.00100383,0.34811732,6.50758924,1e-06,0.5,0,1.21325308,-3.9e-06,,,
