_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.52,0.65
5,0.49888393,0.49860491,2e-07,0.00040742,0.49748884,3.59537023,1e-06,8.8e-07,0.00412767,0.00468291,0.00062307,0.00055524,0.41709322,0.05665593,4e-07,0.5,0,-8.8e-07,-8.58e-06,,,
10,0.49940476,0.49955357,1.6e-07,0.00041082,0.49895833,3.55848243,5e-08,-4e-08,0.00407981,0.00463601,0.00059927,0.00055619,0.40085581,0.06512774,9e-07,0.5,0,4e-08,-9.3e-07,0.66666667,0.5,0.71
15,0.5,0.5,0,0.00041755,0.5,3.68962046,0,0,0.00421123,0.00479835,0.00063034,0.00058711,0.40723339,0.04110521,1e-06,0.5,0,0,-7.47e-06,,,
20,0.5,0.5,0,0.00041384,0.5,3.73590889,0,0,0.00427052,0.00483741,0.00063612,0.00056689,0.39191353,0.04934082,1e-06,0.5,0,0,2.162e-05,0.76666667,0.55,0.68
25,0.5,0.5,0,0.00044,0.5,3.86205136,0,0,0.00437549,0.0050194,0.00067079,0.0006439,0.38702556,0.04056262,1e-06,0.5,0,0,-5.41e-06,,,
30,0.5,0.5,0,0.00041571,0.5,3.94855672,0,0,0.00447606,0.00514032,0.00071927,0.00066426,0.3989962,0.04279693,1e-06,0.5,0,0,-3.19e-06,0.76666667,0.54,0.71
35,0.5,0.5,0,0.00043248,0.5,3.98031149,0,0,0.00450044,0.01651157,0.01205139,0.01201113,0.39000553,0.03997215,1e-06,0.5,0,0,4.91e-06,,,
40,0.49919872,0.49955929,-1.4e-07,0.00041316,0.49875801,3.88351184,1e-08,-1e-08,0.004425,0.0053976,0.00105626,0.00097261,0.37653294,0.0435562,1e-06,0.5,0,1e-08,5.28e-06,0.7,0.53,0.69
45,0.5,0.5,0,0.0004381,0.5,4.11964152,0,0,0.00463788,0.00590941,0.00130801,0.00127153,0.36327684,0.0395284,1e-06,0.5,0,0,2.021e-05,,,
50,0.5,0.5,0,0.00044675,0.5,4.30165333,0,0,0.00482301,5.64496439,5.64018404,5.64014144,0.35632834,0.03950426,1e-06,0.5,0,0,1.744e-05,0.66666667,0.52,0.69
55,0.5,0.5,0,0.00044547,0.5,4.3481582,0,0,0.00486602,0.2742095,0.26937921,0.26934349,0.32787666,0.04021346,1e-06,0.5,0,0,1.072e-05,,,
60,0.5,0.5,0,0.00044535,0.5,4.46319471,0,0,0.00497985,16.93565588,16.93070751,16.9306742,0.30623993,0.04198631,1e-06,0.5,0,0,5.993e-05,0.66666667,0.56,0.73
65,0.5,0.5,0,0.000453,0.5,5.07709658,0,0,0.00559478,0.03093475,0.02537533,0.02533997,0.25558418,0.05456279,1e-06,0.5,0,0,0.00035743,,,
70,0.5,0.5,0,0.00046086,0.5,5.37980439,0,0,0.00589702,55.78604985,55.7801882,55.78015376,0.15763932,0.06836791,1e-06,0.5,0,0,0.0005734,0.73333333,0.55,0.7
75,0.5,0.5,0,0.00046856,0.5,6.02609843,0,0,0.0065478,202.76051867,202.7539991,202.75395603,0.14854714,0.09492721,1e-06,0.5,0,0,0.00052583,,,
80,0.5,0.5,0,0.00046951,0.5,7.45119086,0,0,0.00796695,168.83454124,168.82660246,168.82657096,0.15207782,0.11973317,1e-06,0.5,0,0,0.00223449,0.76666667,0.59,0.7
85,0.5,0.5,0,0.00047427,0.5,11.35052651,0,0,0.01186712,4034.07777433,4034.06596008,4034.06593498,0.12822902,0.34190111,1e-06,0.5,0,0,0.01193752,,,
90,0.5,0.5,0,0.00048817,0.5,38.60856146,0,0,0.03911769,1540115.44378153,1540115.43442281,1540115.43442281,0.13530192,4.97776792,1e-06,0.5,0,0,0.13014643,0.53333333,0.35,0.63
95,0.5,0.5,0,0.00049479,0.5,162.79413462,0,0,0.16330079,23178011.22253105,23178011.22092849,23178011.22092849,0.14230776,15.34308419,1e-06,0.5,0,0,0.67533796,,,
100,0.5,0.5,0,0.00049814,0.5,203.57274483,0,0,0.20407412,45876113.4672619,45876113.4672619,45876113.4672619,0.10907011,17.36826375,1e-06,0.5,0,0,0.46954459,0,0.03,0.36
105,0.5,0.5,0,0.00049479,0.5,197.90858536,0,0,0.19841601,48312513.76488096,48312513.76488096,48312513.76488096,0.07687552,16.80196507,1e-06,0.5,0,0,0.38731043,,,
