_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.63333333,0.53,0.71
5,0.49955357,0.5,1e-07,0.00012134,0.49955357,13.20418403,1.32042224,-1.32042218,0.00414258,0.0046876,0.00060786,0.00054502,0.4158172,8.01834625,4e-07,0.5,0,1.32042216,-3.35e-06,,,
10,0.5,0.5,0,0.00012556,0.5,12.80085774,1.28008958,-1.28008958,0.00402097,0.00458926,0.00062971,0.00056829,0.39187771,7.66324119,9e-07,0.5,0,1.28008956,-9.15e-06,0.63333333,0.53,0.7
15,0.5,0.49979968,-3e-08,0.00012176,0.49979968,12.83400922,1.28340564,-1.28340564,0.00402428,0.00464987,0.0006738,0.00062559,0.39670882,6.88924029,1e-06,0.5,0,1.28340561,-1.586e-05,,,
20,0.5,0.5,0,0.0001219,0.5,12.75229726,1.27523748,-1.27523748,0.00400429,0.00457619,0.00062911,0.0005719,0.37601054,7.67079867,1e-06,0.5,0,1.27523747,-2.496e-05,0.6,0.51,0.66
25,0.5,0.5,0,0.00013051,0.5,12.70143026,1.27014602,-1.27014602,0.00397396,0.00453335,0.00058645,0.00055939,0.37004995,6.16158006,1e-06,0.5,0,1.27014602,-3.166e-05,,,
30,0.5,0.5,0,0.00012043,0.5,12.66173284,1.2661742,-1.2661742,0.00397624,0.00464337,0.00072257,0.00066712,0.37778553,8.38338722,1e-06,0.5,0,1.26617418,-1.4e-05,0.66666667,0.48,0.66
35,0.5,0.5,0,0.00012466,0.5,12.28528004,1.22853257,-1.22853257,0.00385772,0.00449455,0.00068111,0.00063683,0.36371291,6.19740351,1e-06,0.5,0,1.22853255,-3.31e-05,,,
40,0.5,0.49979968,-6e-08,0.0001213,0.49979968,11.81668193,1.181671,-1.181671,0.0037405,0.0042508,0.00060141,0.0005103,0.35819411,8.27279104,1e-06,0.5,0,1.18167098,-2.041e-05,0.73333333,0.41,0.68
45,0.5,0.5,0,0.00012618,0.5,12.08839715,1.20884518,-1.20884518,0.00379533,1.02578202,1.02202436,1.02198674,0.34925398,6.98866144,1e-06,0.5,0,1.20884517,-3.791e-05,,,
50,0.49939904,0.4979968,-4.2e-07,0.00012305,0.49779647,12.05616137,1.20561537,-1.20561537,0.00380331,0.01493562,0.01120621,0.01113231,0.35104564,6.8096946,1e-06,0.49959936,0,1.20561535,-3.012e-05,0.63333333,0.43,0.71
55,0.5,0.5,0,0.00012309,0.5,11.895084,1.1895129,-1.1895129,0.00374009,0.30465478,0.30095782,0.3009147,0.34044802,7.97809821,1e-06,0.5,0,1.18951288,-1.721e-05,,,
60,0.49933036,0.49955357,-5e-08,0.00012578,0.49888393,11.75316569,1.17531688,-1.17531688,0.00370554,0.00426479,0.00061886,0.00055926,0.33598816,8.032255,1e-06,0.5,0,1.17531687,-3.425e-05,0.53333333,0.39,0.68
65,0.5,0.5,0,0.00012751,0.5,12.11458126,1.21146256,-1.21146256,0.00380806,16.61463407,16.61087383,16.61082667,0.34213555,7.90400754,1e-06,0.5,0,1.21146255,-4.014e-05,,,
70,0.5,0.49744792,-3.6e-07,0.00012973,0.49744792,12.12421121,1.21242228,-1.21242228,0.00380391,8.58209748,8.57832861,8.57829459,0.3395474,8.38548738,1e-06,0.5,0,1.21242227,-5.4e-05,0.56666667,0.43,0.66
75,0.5,0.5,0,0.00013174,0.5,12.65028313,1.26502936,-1.26502936,0.00396229,4.14949059,4.14556291,4.14552851,0.35076019,9.09929978,1e-06,0.5,0,1.26502935,-6.114e-05,,,
80,0.49977679,0.5,6e-08,0.0001292,0.49977679,12.67333323,1.26733199,-1.26733199,0.00397476,33.19762052,33.19368994,33.19364429,0.34944832,10.37626438,1e-06,0.5,0,1.26733197,-4.976e-05,0.56666667,0.38,0.68
85,0.49631696,0.49609375,1.3e-07,0.00013078,0.49609375,12.4211224,1.24211184,-1.24211184,0.00390459,30.2331584,30.22931147,30.22925289,0.3432239,25.59529409,1e-06,0.49631696,0,1.24211182,-5.932e-05,,,
90,0.5,0.5,0,0.00013268,0.5,13.44920972,1.34492214,-1.34492214,0.00424151,25.0417473,25.03762036,25.03750708,0.35114983,13.41831843,1e-06,0.5,0,1.34492212,-9.811e-05,0.5,0.34,0.67
