_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.63333333,0.54,0.69
5,0.49977679,0.5,7e-08,0.00012654,0.49977679,13.14338934,0.13143672,-0.13143672,0.00411996,0.04522922,0.04116327,0.04110926,0.41451034,0.75948142,4e-07,0.5,0,0.13143672,-6.25e-06,,,
10,0.5,0.5,0,0.00012294,0.5,12.75101408,0.12751635,-0.12751635,0.0039963,0.00456098,0.00060667,0.00056468,0.3928315,0.66254658,9e-07,0.5,0,0.12751635,-9.91e-06,0.66666667,0.54,0.64
15,0.5,0.5,0,0.00012231,0.5,12.86613918,0.12866106,-0.12866106,0.00403436,0.20857422,0.2045889,0.20453986,0.39584202,0.65307024,1e-06,0.5,0,0.12866106,-1.525e-05,,,
20,0.5,0.5,0,0.00012431,0.5,12.72135992,0.12721677,-0.12721677,0.00400023,0.00454043,0.00060784,0.0005402,0.37788627,0.73224892,1e-06,0.5,0,0.12721677,-8.34e-06,0.66666667,0.5,0.68
25,0.5,0.5,0,0.0001249,0.5,12.6145007,0.12615253,-0.12615253,0.00395331,0.00449112,0.00057573,0.00053782,0.3674458,0.67132972,1e-06,0.5,0,0.12615253,-1.124e-05,,,
30,0.49959936,0.49979968,4e-08,0.0001251,0.49939904,12.53694746,0.12537207,-0.12537204,0.00393656,13.86876749,13.86488166,13.86483052,0.37254632,0.72546304,1e-06,0.5,0,0.12537203,-1.948e-05,0.7,0.49,0.68
35,0.5,0.5,0,0.00012416,0.5,12.22112883,0.12221658,-0.12221658,0.00383472,251.27603268,251.27224304,251.27220628,0.35983244,0.661723,1e-06,0.5,0,0.12221658,-2.689e-05,,,
