_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.56666667,0.52,0.71
5,0.5,0.49933036,-1e-07,0.00012452,0.49933036,13.1543951,0.01315563,-0.01315563,0.00412529,0.00466945,0.0006023,0.00054416,0.41704175,0.07775889,4e-07,0.5,0,0.01315563,-3.67e-06,,,
10,0.5,0.5,0,0.00012295,0.5,12.82635223,0.01283171,-0.01283168,0.0040223,0.00475167,0.00077815,0.00072937,0.39458796,0.08890153,9e-07,0.5,0,0.01283168,-1.003e-05,0.7,0.61,0.64
15,0.49979968,0.5,2e-08,0.00012362,0.49979968,12.82780519,0.01283219,-0.01283214,0.00401992,0.00478336,0.00080664,0.00076344,0.39328736,0.06160767,1e-06,0.5,0,0.01283214,-9.48e-06,,,
20,0.5,0.5,0,0.00012624,0.5,12.83336208,0.01283507,-0.01283507,0.00401886,0.0045779,0.00059674,0.00055904,0.37558374,0.07311635,1e-06,0.5,0,0.01283507,-1.564e-05,0.7,0.47,0.7
25,0.5,0.5,0,0.00012868,0.5,12.71822221,0.01271908,-0.01271908,0.00398236,0.00452795,0.00057937,0.00054559,0.36767069,0.06205581,1e-06,0.5,0,0.01271908,-8.55e-06,,,
30,0.5,0.5,0,0.00012099,0.5,12.81349972,0.01281775,-0.01281775,0.00401876,0.00519636,0.00122702,0.00117759,0.37964249,0.08378569,1e-06,0.5,0,0.01281775,-1.967e-05,0.56666667,0.46,0.68
35,0.5,0.5,0,0.00012548,0.5,12.35631147,0.01236027,-0.01236027,0.00387473,0.00443172,0.00059266,0.00055699,0.36407962,0.05964802,1e-06,0.5,0,0.01236027,-3.197e-05,,,
40,0.5,0.49979968,-4e-08,0.00012127,0.49979968,11.86901167,0.01187051,-0.01187049,0.0037505,0.00889244,0.00522161,0.00514193,0.35671496,0.08639101,1e-06,0.5,0,0.01187049,-3.217e-05,0.56666667,0.54,0.67
45,0.5,0.5,0,0.00012469,0.5,12.13708464,0.01213903,-0.01213903,0.00380923,0.00437971,0.00060669,0.00057048,0.35117736,0.05645106,1e-06,0.5,0,0.01213903,-2.769e-05,,,
50,0.5,0.5,0,0.0001245,0.5,12.16499456,0.01216784,-0.01216784,0.00382556,0.004365,0.00059156,0.00053944,0.35239229,0.10035828,1e-06,0.5,0,0.01216784,-2.554e-05,0.56666667,0.41,0.63
55,0.5,0.5,0,0.00012498,0.5,11.98987449,0.01199188,-0.01199188,0.00376707,0.11516745,0.11144059,0.11140038,0.34158957,0.10051686,1e-06,0.5,0,0.01199188,-3.256e-05,,,
60,0.5,0.5,0,0.00012609,0.5,11.83644044,0.01183794,-0.01183794,0.0037178,0.20809585,0.20441179,0.20437807,0.33635792,0.15971223,1e-06,0.5,0,0.01183794,-3.609e-05,0.66666667,0.4,0.66
65,0.5,0.5,0,0.00012417,0.5,12.19749598,0.01219883,-0.01219883,0.00383364,0.02204806,0.0182632,0.01821442,0.34366527,0.12795551,1e-06,0.5,0,0.01219883,-4.129e-05,,,
70,0.5,0.5,0,0.00012985,0.5,12.41566999,0.01241717,-0.01241717,0.00388609,32.86576715,32.86190267,32.86188001,0.34669572,0.08272139,1e-06,0.5,0,0.01241717,-4.752e-05,0.4,0.39,0.61
75,0.5,0.5,0,0.00013052,0.5,12.6619739,0.01266175,-0.01266175,0.00396703,18.30211523,18.2981841,18.29814723,0.35268387,0.07169793,1e-06,0.5,0,0.01266175,-6.944e-05,,,
80,0.5,0.5,0,0.00012704,0.5,12.79373183,0.01279687,-0.01279687,0.00400777,10.29420885,10.29024044,10.29020116,0.35070586,0.08996069,1e-06,0.5,0,0.01279686,-6.093e-05,0.43333333,0.35,0.63
85,0.5,0.49977679,-7e-08,0.00013326,0.49977679,12.60837969,0.01260942,-0.01260942,0.00396655,135.97623371,135.97233046,135.97226236,0.34547314,0.15062198,1e-06,0.5,0,0.01260942,-8.74e-05,,,
90,0.5,0.5,0,0.00013505,0.5,13.39182943,0.01339308,-0.01339308,0.00418325,54.70922801,54.70507568,54.70504427,0.352218,0.20358296,1e-06,0.5,0,0.01339308,-3.126e-05,0.43333333,0.31,0.56
95,0.5,0.5,0,0.00013834,0.5,14.17897009,0.01417909,-0.01417909,0.00441278,84.10980901,84.10541203,84.10539384,0.37712917,0.14864257,1e-06,0.5,0,0.01417909,-0.00013751,,,
100,0.5,0.5,0,0.00013645,0.5,13.85749101,0.0138572,-0.0138572,0.00432284,103.76184142,103.75754785,103.75751665,0.3717134,0.30934515,1e-06,0.5,0,0.0138572,-5.268e-05,0.4,0.24,0.6
105,0.5,0.5,0,0.00013684,0.5,14.41544181,0.01441855,-0.01441855,0.0044884,59.78880909,59.78434963,59.78432214,0.38370779,0.24480118,1e-06,0.5,0,0.01441855,-0.00015924,,,
