_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.53,0.64
5,0.49955357,0.49955357,-1e-08,0.00012481,0.49910714,13.07333165,0.39220369,-0.39220343,0.00410444,0.00467032,0.00063106,0.00056589,0.41552866,2.34417344,4e-07,0.5,0,0.39220342,-1.158e-05,,,
10,0.5,0.5,0,0.00012176,0.5,12.83082733,0.38493006,-0.38493006,0.00402858,0.00457606,0.00060614,0.00054749,0.3935076,2.06829909,9e-07,0.5,0,0.38493005,-1.425e-05,0.63333333,0.52,0.68
15,0.5,0.5,0,0.00012469,0.5,12.85567489,0.38567377,-0.38567377,0.00402692,0.00458827,0.00060179,0.00056135,0.39581823,1.89698478,1e-06,0.5,0,0.38567376,-1.881e-05,,,
20,0.5,0.5,0,0.00012577,0.5,12.8007358,0.38402615,-0.38402615,0.00402047,0.00456866,0.00060869,0.00054818,0.37854469,2.05764523,1e-06,0.5,0,0.38402614,-4.42e-06,0.63333333,0.51,0.67
25,0.5,0.5,0,0.00012422,0.5,12.6815433,0.38044672,-0.38044672,0.0039708,0.00449753,0.0005594,0.00052673,0.37140572,2.16184879,1e-06,0.5,0,0.38044672,2.73e-06,,,
30,0.5,0.5,0,0.00012112,0.5,12.78876343,0.38366891,-0.38366891,0.00401974,0.00458971,0.00063619,0.00056997,0.38152516,2.00303789,1e-06,0.5,0,0.38366891,-2.474e-05,0.73333333,0.48,0.67
35,0.5,0.5,0,0.00012427,0.5,12.43234506,0.37297235,-0.37297235,0.00390027,0.00453211,0.00067298,0.00063184,0.36592579,1.96684518,1e-06,0.5,0,0.37297235,-1.493e-05,,,
40,0.49979968,0.49979968,1e-08,0.00011845,0.49959936,11.82651118,0.35479991,-0.35479969,0.00374331,0.0042823,0.00062974,0.00053899,0.35673603,2.25339697,1e-06,0.5,0,0.35479968,-2.142e-05,0.63333333,0.45,0.71
45,0.5,0.5,0,0.00012642,0.5,12.04982289,0.36150018,-0.36150018,0.00378189,0.00433574,0.00058773,0.00055385,0.34815168,1.92776876,1e-06,0.5,0,0.36150018,-2.562e-05,,,
50,0.49979968,0.5,5e-08,0.00012143,0.49979968,12.00094744,0.36002666,-0.36002664,0.0037807,0.02670741,0.02298764,0.02292671,0.34938142,2.13867723,1e-06,0.5,0,0.36002664,-1.893e-05,0.56666667,0.44,0.69
55,0.5,0.5,0,0.00012376,0.5,11.97497267,0.35925282,-0.35925282,0.00376409,0.67011373,0.66639281,0.66634962,0.3415716,1.7793216,1e-06,0.5,0,0.35925281,-2.745e-05,,,
60,0.5,0.5,0,0.00012773,0.5,11.68602582,0.3505796,-0.3505796,0.00367298,0.00424987,0.00061124,0.00057689,0.33253953,2.26473908,1e-06,0.5,0,0.3505796,-5.478e-05,0.7,0.41,0.71
65,0.5,0.5,0,0.00012704,0.5,12.07192338,0.36216018,-0.36216018,0.00379245,0.51844206,0.51469135,0.51464961,0.34279272,2.21003602,1e-06,0.5,0,0.36216018,-4.204e-05,,,
70,0.5,0.5,0,0.0001308,0.5,12.25735501,0.36772165,-0.36772165,0.00384453,15.38231018,15.37849929,15.37846464,0.34129852,2.57006649,1e-06,0.5,0,0.36772164,-6.037e-05,0.46666667,0.47,0.64
75,0.5,0.5,0,0.0001328,0.5,12.6787612,0.38036482,-0.38036482,0.00396804,42.66608602,42.6621466,42.66211779,0.35270032,3.25496251,1e-06,0.5,0,0.38036481,-6.154e-05,,,
80,0.5,0.5,0,0.00012567,0.5,12.62948962,0.37888553,-0.37888553,0.00396204,4.1511979,4.14728206,4.14723574,0.34803385,3.07794282,1e-06,0.5,0,0.37888552,-6.311e-05,0.56666667,0.37,0.68
85,0.49821429,0.49866071,8e-08,0.00012906,0.49821429,12.35209856,0.37056595,-0.37056557,0.003872,49.54435817,49.54051681,49.54048374,0.34102148,3.69700484,1e-06,0.49866071,0,0.37056557,-4.311e-05,,,
90,0.5,0.5,0,0.00013633,0.5,13.17345589,0.39520449,-0.39520449,0.00411658,50.24575055,50.24166336,50.24163428,0.34729609,3.43798783,1e-06,0.5,0,0.39520449,-9.978e-05,0.56666667,0.34,0.6
95,0.5,0.5,0,0.00013578,0.5,13.96776878,0.41903458,-0.41903458,0.00435171,26.31033843,26.3060085,26.30598574,0.37059373,3.89151113,1e-06,0.5,0,0.41903458,-5.515e-05,,,
100,0.5,0.5,0,0.00013697,0.5,13.48366316,0.40451128,-0.40451128,0.00420535,3.37963433,3.37544941,3.37542891,0.36037591,2.8440166,1e-06,0.5,0,0.40451128,-0.00012659,0.4,0.26,0.61
105,0.5,0.5,0,0.00013435,0.5,14.07407796,0.42222715,-0.42222715,0.0043887,21.76922236,21.76486663,21.76483367,0.37376526,4.56556076,1e-06,0.5,0,0.42222715,-0.00010126,,,
110,0.5,0.5,0,0.00014244,0.5,13.96786634,0.41903761,-0.41903761,0.00434731,68.69331367,68.68898139,68.68896753,0.36677185,3.53414798,1e-06,0.5,0,0.41903761,-0.00016727,0.36666667,0.2,0.54
