_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.45,0.68
5,0.4983817,0.49905134,1.5e-07,0.00040793,0.49743304,3.59338554,0.00360527,-0.0036029,0.00412392,0.00487339,0.00081374,0.00074947,0.41694164,0.02304345,4e-07,0.5,0,0.0036029,-2.84e-06,,,
10,0.49949777,0.49955357,3e-08,0.00040793,0.49905134,3.49037187,0.00349658,-0.00349463,0.00401781,0.00624669,0.00228407,0.00222888,0.39303428,0.02033798,9e-07,0.5,0,0.00349463,-1.518e-05,0.7,0.54,0.7
15,0.5,0.49975962,-1e-07,0.0004221,0.49975962,3.52601867,0.00352234,-0.00352111,0.00404892,0.00460058,0.00059767,0.00055166,0.39585888,0.01990425,1e-06,0.5,0,0.00352111,-1.353e-05,,,
20,0.5,0.5,0,0.00042083,0.5,3.49997112,0.00351475,-0.00351475,0.00402377,0.00459552,0.00061935,0.00057176,0.37882578,0.02191649,1e-06,0.5,0,0.00351475,-5.37e-06,0.66666667,0.49,0.71
25,0.5,0.5,0,0.00043191,0.5,3.47832181,0.00349153,-0.00349153,0.00399498,0.00454601,0.00058434,0.00055103,0.37246335,0.0187204,1e-06,0.5,0,0.00349153,-1.102e-05,,,
30,0.49915865,0.49911859,-4e-08,0.00040479,0.49891827,3.46635735,0.0034781,-0.00347763,0.00399035,0.00462197,0.00068032,0.00063162,0.37897328,0.02355384,1e-06,0.49935897,0,0.00347763,-1.547e-05,0.63333333,0.46,0.71
35,0.5,0.5,0,0.00040833,0.5,3.38702141,0.00340465,-0.00340465,0.00390867,0.00445087,0.0005855,0.0005422,0.36795589,0.01728238,1e-06,0.5,0,0.00340465,-1.163e-05,,,
40,0.49955929,0.49939904,3e-08,0.00038823,0.49895833,3.21390056,0.00323545,-0.00323205,0.00375593,0.00502988,0.00135828,0.00127396,0.35637468,0.02669353,1e-06,0.5,0,0.00323205,-2.893e-05,0.7,0.48,0.66
45,0.5,0.5,0,0.00041629,0.5,3.27413361,0.003289,-0.003289,0.00379188,0.00434803,0.00059164,0.00055616,0.34993926,0.01693843,1e-06,0.5,0,0.003289,-2.906e-05,,,
50,0.49972098,0.5,3e-08,0.00041805,0.49972098,3.31113977,0.0033171,-0.00331651,0.00383277,0.79127219,0.78748275,0.78743944,0.3526316,0.02258216,1e-06,0.5,0,0.00331651,-2.391e-05,0.66666667,0.44,0.68
55,0.5,0.5,0,0.00042228,0.5,3.27572716,0.00328635,-0.00328635,0.00379413,0.00512496,0.00136764,0.00133083,0.34361196,0.04306373,1e-06,0.5,0,0.00328635,-2.996e-05,,,
60,0.5,0.5,0,0.00042068,0.5,3.19018221,0.00319226,-0.00319066,0.00371494,0.00435957,0.00069414,0.00064463,0.33548227,0.02564027,1e-06,0.5,0,0.00319066,-3.619e-05,0.73333333,0.46,0.64
65,0.49977679,0.5,1.5e-07,0.00043396,0.49977679,3.29693522,0.00330086,-0.00330074,0.00381523,2.34861914,2.34484075,2.34480386,0.34264636,0.02157553,1e-06,0.5,0,0.00330074,-5.075e-05,,,
70,0.49863281,0.49902344,3.8e-07,0.00043397,0.49765625,3.34377189,0.00335733,-0.00335708,0.00386606,0.05961599,0.05579638,0.05574993,0.34327975,0.02501388,1e-06,0.5,0,0.00335708,-2.351e-05,0.53333333,0.36,0.72
75,0.5,0.5,0,0.00044378,0.5,3.44983296,0.00345651,-0.00345571,0.00396511,0.20349726,0.19956271,0.19953215,0.35041547,0.03806622,1e-06,0.5,0,0.00345571,-6.722e-05,,,
80,0.49765625,0.49782366,7.5e-07,0.00043286,0.49626116,3.43283583,0.00344197,-0.00344156,0.0039636,33.47850939,33.47460841,33.47454367,0.34844911,0.04684945,1e-06,0.49921875,0,0.00344156,-3.292e-05,0.56666667,0.34,0.68
