_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.73333333,0.49,0.68
5,0.5,0.49940476,-1.3e-07,0.00012304,0.49940476,13.15608659,0.13156583,-0.13156583,0.00413005,0.00471518,0.00065184,0.00058512,0.41685084,0.72982948,4e-07,0.5,0,0.13156583,-3.99e-06,,,
10,0.5,0.5,0,0.00011962,0.5,12.7424252,0.12742927,-0.12742927,0.00400665,0.00454798,0.00060918,0.00054133,0.39183372,0.70287768,9e-07,0.5,0,0.12742927,-1.349e-05,0.6,0.52,0.7
15,0.5,0.5,0,0.00012542,0.5,12.83276047,0.12833201,-0.12833201,0.00401935,0.00456655,0.00058624,0.0005472,0.39215067,0.66454592,1e-06,0.5,0,0.128332,-1.57e-06,,,
20,0.5,0.5,0,0.00012404,0.5,12.76707896,0.12767475,-0.12767475,0.00400555,0.00460996,0.00065527,0.00060441,0.3770788,0.71521537,1e-06,0.5,0,0.12767475,-1.35e-05,0.76666667,0.5,0.69
25,0.5,0.5,0,0.00012473,0.5,12.67308482,0.12673353,-0.12673353,0.00397186,0.00450448,0.00057249,0.00053262,0.36768746,0.58424267,1e-06,0.5,0,0.12673353,-1.065e-05,,,
30,0.5,0.5,0,0.00012004,0.5,12.6615498,0.12661743,-0.12661743,0.00397335,0.00461107,0.00068749,0.00063771,0.37887406,0.69016413,1e-06,0.5,0,0.12661743,-2.424e-05,0.7,0.42,0.69
35,0.5,0.5,0,0.00012519,0.5,12.37116322,0.12371597,-0.12371597,0.0038809,0.00442412,0.00058232,0.00054322,0.36489931,0.67200824,1e-06,0.5,0,0.12371597,-2.468e-05,,,
40,0.49918727,0.49939904,1.2e-07,0.00011812,0.49858631,11.71753989,0.11717859,-0.11717859,0.00370643,0.00784102,0.00421765,0.00413459,0.35309073,0.88936318,1e-06,0.5,0,0.11717859,-5.38e-06,0.66666667,0.48,0.7
45,0.5,0.5,0,0.00012462,0.5,12.03397571,0.12034421,-0.12034421,0.00377909,19.19215813,19.18841665,19.18837886,0.34425247,0.64816028,1e-06,0.5,0,0.1203442,-2.741e-05,,,
