_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.66666667,0.52,0.69
5,0.49977679,0.49977679,-4e-08,0.00012333,0.49955357,13.21787225,7e-08,7e-08,0.00414561,0.00467964,0.0005947,0.00053403,0.41739309,0.04876325,4e-07,0.5,0,-7e-08,4.33e-06,,,
10,0.5,0.5,0,0.00012225,0.5,12.94869292,0,0,0.00406382,0.00464895,0.00064355,0.00058513,0.40051663,0.0448627,9e-07,0.5,0,0,-9.48e-06,0.7,0.51,0.65
15,0.5,0.5,0,0.00012355,0.5,13.46332366,0,0,0.00421524,0.00477909,0.00061634,0.00056384,0.41106921,0.04309034,1e-06,0.5,0,0,1.44e-06,,,
20,0.5,0.5,0,0.00012637,0.5,13.73441722,0,0,0.00429625,0.00490146,0.00065706,0.00060521,0.39683411,0.0418853,1e-06,0.5,0,0,2.19e-06,0.66666667,0.55,0.71
25,0.5,0.5,0,0.00013122,0.5,14.06340558,0,0,0.0043834,0.00502291,0.00066827,0.00063951,0.3928785,0.04258952,1e-06,0.5,0,0,-2.8e-06,,,
30,0.5,0.5,0,0.00012935,0.5,14.58293782,0,0,0.0045418,12.27755266,12.27304435,12.27301052,0.40845743,0.04224884,1e-06,0.5,0,0,6.6e-07,0.7,0.5,0.71
35,0.5,0.5,0,0.00012884,0.5,14.51294067,0,0,0.00452719,0.07896228,0.07448171,0.07443508,0.39806718,0.03964788,1e-06,0.5,0,0,-9.08e-06,,,
40,0.5,0.5,0,0.00012484,0.5,14.24583994,0,0,0.00446608,0.00522878,0.00084735,0.00076271,0.37906107,0.04327296,1e-06,0.5,0,0,1.279e-05,0.73333333,0.53,0.7
45,0.5,0.5,0,0.00012917,0.5,14.8615665,0,0,0.00462695,0.00563324,0.00104325,0.00100628,0.36135951,0.03887888,1e-06,0.5,0,0,9.42e-06,,,
50,0.5,0.5,0,0.00013246,0.5,15.41040034,0,0,0.00479003,0.00940053,0.00464432,0.00461051,0.35443085,0.03967079,1e-06,0.5,0,0,1.241e-05,0.8,0.52,0.74
55,0.5,0.5,0,0.00013467,0.5,15.77497596,0,0,0.00489678,0.00585637,0.00098816,0.00095959,0.31985325,0.03762465,1e-06,0.5,0,0,4.597e-05,,,
60,0.5,0.5,0,0.00013463,0.5,16.38892502,0,0,0.00508383,0.5987632,0.59371366,0.59367934,0.27505571,0.04489292,1e-06,0.5,0,0,0.00012878,0.73333333,0.57,0.68
65,0.5,0.5,0,0.00013593,0.5,18.93131458,0,0,0.00584987,10.52892785,10.52311857,10.52307776,0.17844543,0.0589077,1e-06,0.5,0,0,0.00071274,,,
70,0.5,0.5,0,0.00014394,0.5,19.96295037,0,0,0.00614824,52.39421709,52.38808776,52.38806906,0.13402669,0.08964987,1e-06,0.5,0,0,0.00059522,0.66666667,0.58,0.7
75,0.5,0.5,0,0.00014163,0.5,23.66186418,0,0,0.00726179,180.97340759,180.96616437,180.96613716,0.12196527,0.10135734,1e-06,0.5,0,0,0.00134746,,,
80,0.5,0.5,0,0.00014292,0.5,31.42254154,0,0,0.00959364,815.02083968,815.0112716,815.01122869,0.11560412,0.21185497,1e-06,0.5,0,0,0.00502211,0.83333333,0.5,0.67
85,0.5,0.5,0,0.00014519,0.5,56.41664613,0,0,0.01708974,96286.9510157,96286.93386841,96286.93382712,0.10115529,0.9440542,1e-06,0.5,0,0,0.03328629,,,
90,0.5,0.5,0,0.00014805,0.5,272.39683888,0,0,0.08187331,8063689.11496735,8063689.11056519,8063689.11056519,0.10948893,16.31730727,1e-06,0.5,0,0,0.3003443,0.33333333,0.16,0.54
95,0.5,0.5,0,0.00014943,0.5,668.64721033,0,0,0.20074527,36184680.28506097,36184680.28353658,36184680.28353658,0.10303367,17.57845312,1e-06,0.5,0,0,0.69301947,,,
