_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.74
5,0.49977679,0.5,7e-08,0.00012202,0.49977679,13.15468136,0.01316933,-0.01316693,0.00413414,0.00468213,0.00062359,0.00054799,0.41476798,0.13471361,4e-07,0.5,0,0.01316693,-1.265e-05,,,
10,0.5,0.5,0,0.00011959,0.5,12.83407258,0.0128368,-0.0128368,0.00402791,0.00455561,0.00058308,0.00052769,0.39454842,0.11172396,9e-07,0.5,0,0.0128368,1.464e-05,0.66666667,0.54,0.73
15,0.5,0.5,0,0.000122,0.5,12.95699249,0.01296966,-0.01296966,0.00406025,0.00462033,0.00060638,0.00056009,0.39517629,0.1099378,1e-06,0.5,0,0.01296966,-1.54e-05,,,
20,0.5,0.5,0,0.0001244,0.5,12.98528605,0.01298597,-0.01296929,0.00407568,0.00464811,0.00063261,0.00057243,0.37818059,0.13909495,1e-06,0.5,0,0.01296929,-8.46e-06,0.66666667,0.52,0.7
25,0.5,0.5,0,0.00012777,0.5,13.0066469,0.01302095,-0.01302095,0.00407264,0.0046347,0.00060334,0.00056206,0.36746112,0.10357783,1e-06,0.5,0,0.01302095,7.8e-07,,,
30,0.5,0.5,0,0.00012153,0.5,13.02398968,0.01302082,-0.01302082,0.00408235,0.00465603,0.00062398,0.00057368,0.37744564,0.11239975,1e-06,0.5,0,0.01302082,-4.58e-06,0.63333333,0.48,0.67
35,0.5,0.5,0,0.00012598,0.5,12.77190364,0.0127727,-0.0127727,0.00399965,0.00456753,0.00060404,0.00056788,0.3608683,0.11041215,1e-06,0.5,0,0.0127727,-8.23e-06,,,
40,0.49979968,0.49979968,-4e-08,0.00012052,0.49959936,12.29360411,0.01231446,-0.01221126,0.00388534,0.0046296,0.00083893,0.00074426,0.3518275,0.12689341,1e-06,0.5,0,0.01221125,-6.93e-06,0.73333333,0.55,0.73
45,0.5,0.5,0,0.00012507,0.5,12.75588022,0.0128356,-0.01278473,0.00399252,0.00467392,0.00071291,0.0006814,0.34554437,0.18512606,1e-06,0.5,0,0.01278473,-4.17e-06,,,
50,0.5,0.5,0,0.00012353,0.5,12.91110759,15.75638262,15.72432617,0.00404644,12.69448991,12.69049012,12.6904439,0.34671012,7.46053262,1e-06,0.5,0,-15.72432617,-2.53e-06,0.63333333,0.47,0.73
55,0.5,0.5,0,0.00013204,0.5,12.97435439,10.01887104,7.89136157,0.00405901,23.46363558,23.45960839,23.45957507,0.33556086,404.5903322,1e-06,0.5,0,-7.89136143,-1.739e-05,,,
60,0.5,0.5,0,0.00013327,0.5,13.222385,205.9529165,-0.95767591,0.00413189,306.11639412,306.11229922,306.11226804,0.33132422,136993.68200792,1e-06,0.5,0,0.95767607,1.553e-05,0.73333333,0.5,0.68
65,0.5,0.5,0,0.00013155,0.5,13.74371405,312.85836228,-118.9734119,0.00429631,225.17716497,225.17291289,225.17286646,0.34041709,24400.28039009,1e-06,0.5,0,118.97341076,-3.596e-05,,,
70,0.5,0.5,0,0.00013397,0.5,14.18581963,165.01462113,-79.5480249,0.00441935,220.1516201,220.14722433,220.14719714,0.34659007,2829.21047073,1e-06,0.5,0,79.54801727,-1.564e-05,0.6,0.43,0.66
75,0.5,0.5,0,0.00013666,0.5,14.81804707,171.49194367,108.71190518,0.00461297,609.00480621,609.00021334,609.00017922,0.35193059,5525.46642788,1e-06,0.5,0,-108.71190265,-2.573e-05,,,
80,0.5,0.5,0,0.000133,0.5,14.99213197,72.4163094,57.18080439,0.00466766,534.87403635,534.86942027,534.86938023,0.34662199,5606.25600409,1e-06,0.5,0,-57.18080005,8.01e-06,0.6,0.52,0.72
85,0.5,0.5,0,0.00013544,0.5,14.94607954,105.97624361,25.42738352,0.00465209,421.82421375,421.81958202,421.8195459,0.33701959,16527.52822599,1e-06,0.5,0,-25.42738537,-7e-06,,,
90,0.5,0.5,0,0.00014038,0.5,15.80209017,199.50053488,93.49288112,0.00490793,378.53339706,378.52851765,378.52848286,0.32837722,1848.30986988,1e-06,0.5,0,-93.49288328,7.66e-06,0.66666667,0.44,0.67
95,0.5,0.5,0,0.00014314,0.5,17.27322902,320.20401074,57.86085617,0.00534184,413.01621669,413.01089049,413.01087089,0.34635112,45528.45098122,1e-06,0.5,0,-57.86085294,5.18e-06,,,
100,0.5,0.5,0,0.00014439,0.5,17.23757309,337.71694065,-105.76441525,0.0053287,574.08294935,574.07763083,574.0776162,0.33978292,7492.46121932,1e-06,0.5,0,105.76441276,-2.72e-05,0.63333333,0.44,0.63
