_step,actor/bspo_md_delta_d_w_mean,actor/bspo_md_delta_g_reg_mean,actor/bspo_md_delta_g_w_mean,actor/bspo_md_delta_tau_reg_mean,actor/bspo_md_n_domains,actor/bspo_md_n_groups,actor/bspo_md_pen_d_active_frac,actor/bspo_md_pen_d_mean,actor/bspo_md_pen_g_active_frac,actor/bspo_md_pen_g_mean,actor/bspo_md_pen_tau_mean,actor/bspo_md_s_d_abs_mean,actor/bspo_md_s_d_mean,actor/bspo_md_s_g_abs_mean,actor/bspo_md_s_g_mean,actor/bspo_md_s_tau_abs_mean,actor/bspo_md_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,,,,,,0.65384615,0.53846154,0.81481481,0.57142857,0.14285714
5,6.78e-06,1.105e-05,3e-08,-2e-07,5.36160714,73.47767857,0.05569197,0.25254245,0.00011186,0.00037812,21.64709493,0.00148013,0.00107881,0.00026742,0.00017516,0.00214003,0.00144128,0.39836904,133.76220739,4e-07,0.5,0,0.5943353,1.153e-05,,,,,
