_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.6,0.51,0.7
5,0.49821429,0.49905134,7.1e-07,0.00041238,0.49726563,3.58361202,0.00359658,-0.00359464,0.0041114,0.00469513,0.00064207,0.00058373,0.41477212,0.02227067,4e-07,0.5,0,0.00359464,-1.52e-06,,,
10,0.49955357,0.49927455,-2.6e-07,0.00041284,0.49905134,3.48358624,0.00349538,-0.00349193,0.00400982,0.00456094,0.00060418,0.00055112,0.39333346,0.02120857,9e-07,0.49977679,0,0.00349193,-8.63e-06,0.66666667,0.49,0.68
15,0.49959936,0.5,1.4e-07,0.00041496,0.49959936,3.51773823,0.0035232,-0.00352313,0.00403863,0.00809134,0.00409478,0.00405271,0.39509445,0.01847119,1e-06,0.5,0,0.00352313,-7.74e-06,,,
20,0.5,0.49977679,-2.1e-07,0.00042596,0.49977679,3.50984194,0.00352245,-0.00352155,0.00403222,0.00462373,0.00063669,0.00059151,0.37844804,0.0229742,1e-06,0.5,0,0.00352155,-2.116e-05,0.66666667,0.52,0.76
25,0.5,0.5,0,0.00042517,0.5,3.501202,0.00350937,-0.00350937,0.00402058,0.00455126,0.00056943,0.00053068,0.37039906,0.01833478,1e-06,0.5,0,0.00350937,6.14e-06,,,
30,0.5,0.49959936,-1.2e-07,0.00040701,0.49959936,3.46257165,0.00346415,-0.0034636,0.00398681,0.0045586,0.00062051,0.00057179,0.38016117,0.01987816,1e-06,0.5,0,0.0034636,-3.113e-05,0.66666667,0.47,0.69
35,0.5,0.5,0,0.00041883,0.5,3.39880173,0.00340237,-0.00340231,0.0039177,0.00447138,0.00059147,0.00055368,0.36819288,0.01945552,1e-06,0.5,0,0.00340231,-2.092e-05,,,
