_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.55,0.69
5,0.49776786,0.49977679,1.62e-06,0.00040772,0.49754464,3.60015861,0.03602543,-0.03601258,0.00412225,0.00468665,0.00061215,0.0005644,0.41721296,0.26776693,4e-07,0.5,0,0.03601258,4.7e-07,,,
10,0.49955357,0.49933036,-1.2e-07,0.00040183,0.49888393,3.50718583,0.0350981,-0.03509647,0.0040345,0.00457523,0.00059588,0.00054073,0.39457184,0.25176246,9e-07,0.5,0,0.03509647,4.1e-07,0.73333333,0.51,0.69
15,0.5,0.5,0,0.00041078,0.5,3.53840369,0.0353973,-0.0353973,0.00405888,0.0047181,0.00070018,0.00065922,0.39611229,0.24376712,1e-06,0.5,0,0.0353973,-4.95e-06,,,
20,0.5,0.5,0,0.00041388,0.5,3.49999634,0.03501911,-0.03501911,0.00402507,0.00457929,0.00060437,0.00055422,0.37585291,0.26359291,1e-06,0.5,0,0.03501911,-2.47e-06,0.63333333,0.51,0.68
25,0.5,0.5,0,0.00042087,0.5,3.50633347,0.03506757,-0.03506757,0.00402364,0.00456734,0.00057831,0.0005437,0.36996832,0.21717451,1e-06,0.5,0,0.03506757,-1.514e-05,,,
30,0.5,0.5,0,0.00040669,0.5,3.47611751,0.03478232,-0.03478225,0.00400372,0.00462728,0.00067876,0.00062356,0.3773486,0.26663814,1e-06,0.5,0,0.03478224,-2.556e-05,0.66666667,0.42,0.7
35,0.5,0.5,0,0.00041034,0.5,3.40896752,0.03410582,-0.03404293,0.00392824,0.00499641,0.00110672,0.00106817,0.36337078,0.24593844,1e-06,0.5,0,0.03404293,-1.687e-05,,,
40,0.49807692,0.49955929,5.9e-07,0.00040421,0.49783654,3.22638935,0.0323377,-0.03216797,0.00376074,0.00454208,0.0008515,0.00078134,0.35195562,0.37429872,1e-06,0.49979968,0,0.03216797,-2.238e-05,0.6,0.46,0.65
45,0.5,0.5,0,0.00041659,0.5,3.28848116,0.03288598,-0.03288598,0.00380374,0.00436573,0.00059251,0.00056199,0.343238,0.28142391,1e-06,0.5,0,0.03288598,-2.028e-05,,,
50,0.5,0.5,0,0.00041529,0.5,3.3109024,0.64969314,0.58350861,0.0038328,0.36316979,0.35938078,0.35933702,0.34565985,0.97909578,1e-06,0.5,0,-0.58350855,-6.8e-06,0.63333333,0.53,0.66
55,0.49977679,0.5,5e-08,0.00041848,0.49977679,3.28055662,0.03279946,-0.03279926,0.00380207,0.0044159,0.00065695,0.00061383,0.33614546,0.22568429,1e-06,0.5,0,0.03279926,-1.457e-05,,,
60,0.5,0.5,0,0.00042467,0.5,3.21939613,0.57251557,-0.57120857,0.00373804,0.83436437,0.83066357,0.83062629,0.32725173,302.34844116,1e-06,0.5,0,0.5712085,-2.437e-05,0.6,0.46,0.66
65,0.5,0.5,0,0.00042083,0.5,3.32935568,19.27466382,19.02309471,0.00385056,30.36015402,30.35634456,30.35630211,0.33425307,18.30764144,1e-06,0.5,0,-19.02309246,-1.765e-05,,,
70,0.5,0.5,0,0.00043955,0.5,3.44145972,18.94891746,12.51461441,0.0039564,55.44577003,55.44184116,55.44181128,0.33558634,842.83902783,1e-06,0.5,0,-12.51461339,-2.394e-05,0.7,0.5,0.67
75,0.5,0.5,0,0.00043667,0.5,3.63115337,37.24210403,37.13435814,0.00414962,115.39903467,115.39491573,115.3948798,0.34497073,1697.65231257,1e-06,0.5,0,-37.13435801,-1.981e-05,,,
80,0.5,0.5,0,0.00043475,0.5,3.66545219,60.60402671,-17.8246616,0.00418382,54.06955739,54.06540843,54.06537186,0.34282762,3268.36732229,1e-06,0.5,0,17.82466378,-1.584e-05,0.53333333,0.47,0.66
85,0.5,0.5,0,0.00044306,0.5,3.67897649,473.55370652,206.57940849,0.00419349,1028.61914381,1028.61498741,1028.61495952,0.33816269,39932.96675728,1e-06,0.5,0,-206.57940071,-5.366e-05,,,
90,0.49947917,0.5,4.2e-07,0.00045826,0.49947917,3.94584032,193.06843245,81.94542121,0.00446161,254.97246305,254.9680281,254.9679969,0.33859727,27111.69382693,1e-06,0.5,0,-81.94542219,-3.883e-05,0.5,0.41,0.7
95,0.5,0.5,0,0.00046286,0.5,4.28578323,119.81308073,-54.04095199,0.00479785,172.38703062,172.38224395,172.38221987,0.36062631,7881.85213021,1e-06,0.5,0,54.04094711,-6e-06,,,
100,0.4984375,0.4984375,1.1e-07,0.0004566,0.4984375,4.19290604,451.85129271,91.03684213,0.00470566,747.54490294,747.54021275,747.54018715,0.35021126,14955.56869164,1e-06,0.4984375,0,-91.03683434,-4.197e-05,0.5,0.43,0.68
105,0.49826389,0.49930556,4.6e-07,0.00045796,0.49826389,4.48312916,237.35527493,94.21308948,0.00500022,511.92168252,511.91672685,511.91669164,0.35226995,12067.75232655,1e-06,0.49930556,0,-94.21308647,-4.351e-05,,,
110,0.49609375,0.49902344,1.25e-06,0.00046446,0.49609375,4.60810311,239.44466681,105.54120663,0.0051168,310.54870092,310.54360126,310.5435803,0.34710622,8722.77816067,1e-06,0.49902344,0,-105.54120672,1.834e-05,0.6,0.33,0.63
115,0.49387255,0.49678309,1.25e-06,0.00047972,0.49387255,4.92804388,173.38482346,-44.67310486,0.00542921,270.78632521,270.78089907,270.78089084,0.36129862,32951.20289697,1e-06,0.49678309,0,44.67309923,5.83e-06,,,
120,0.49869792,0.49934896,3.4e-07,0.00047736,0.4983724,4.98524051,305.13330488,158.62773705,0.00549485,735.1354093,735.12994374,735.12992393,0.35719505,10322.68323649,1e-06,0.49967448,0,-158.6277348,4.23e-06,0.4,0.28,0.55
